,user_id,rt_count,user_name
65, 1214203433219026946,27,Owl36350444
66, 176586569,27,nadiia_saib
67, 879229057786933248,27,srbnews0
68, 911309460500619266,27,aggantesde
69, 287474571,27,barrenecheapatt
70, 205107068,26,sagir42
71, 866366646071545856,26,capriisonn
72, 1250715192176119809,26,cavecrusher
73, 950628236420988928,26,kakurenyorugata
74, 1214076431023521792,25,ELARMA77
75, 120450556,25,FPSPredatorsHA
76, 585436880,25,LeifSiv_Falk
77, 37951988,25,anonymiss8
78, 114641609,25,rtkasr
79, 82513945,25,aryanismine
80, 897599384413765634,25,SouzaEluam
81, 2438093795,24,kazuwizo
82, 104738538,24,VikramMann
83, 2583980273,24,FedorsBlog
84, 3025850299,23,emalex_1914
85, 1007577613995511809,23,livvystar
86, 128753624,23,Ukrayan
87, 1243564434179665921,23,rebelrat3
88, 934872945029189632,23,LouderbackJoe
89, 803058291177902080,22,kimbelcherangel
90, 33740012,22,PiLogic
91, 1112315304724582400,22,MartynMeacham1
92, 1127591090,22,askarikhan386
93, 143677987,21,nazaret2010
94, 990905908665372672,21,SpacewomanR
95, 939088187670122496,20,JamaalKhurshid1
96, 385739079,20,emrs08
97, 825386050243682311,20,EDDYDON9
98, 182663887,20,Simon_A_Wood
99, 991645923787902976,20,PanelPowerIrl
100, 290483042,20,maurlind
101, 190585387,20,haddi_ahr
102, 28426930,20,WZH100
103, 770641015195697152,20,aafimiaa
104, 1228866586045403142,20,watergreenvall1
105, 1200611036400955392,19,lekulukumu
106, 59044634,19,swagattt
107, 1174345407817801729,19,moonglow_10
108, 1390097022,19,Smeccage
109, 894001007755014144,18,PurgeGlobalists
110, 821815978635866113,18,gwenllian_bot
111, 208300993,18,LalinhaSandra
112, 718564180094283776,18,Eire353
113, 1273247052,18,LoveDomine
114, 33447651,18,DimensionalEye
115, 1022150336889466881,18,Duttynana
116, 4895085192,18,sammymbausa
117, 886852674859216897,18,CwtchyQ
118, 111280826,18,azharabdi
119, 1179138106387308549,18,ShashikaNaidoo
120, 1017818422728691713,18,Marita30706158
121, 780501826130972673,17,LvrFox
122, 2409714698,17,FTweets789
123, 1071098103934136320,17,CoxEdth
124, 753571509080174592,17,viriyabot
125, 1035104034343059456,17,dnumpty1
126, 2609222612,17,indecentKurt
127, 905077825119576064,17,Haza3691439
128, 862273583900446726,16,AdnanWajood
129, 86433549,16,DASKAVI
130, 1148846674174992387,16,MyburghEmile
131, 1475601295,16,CorruptPunjab
132, 861195031,16,kembangkertas97
